,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed,City
118,-7.565168378525698,88.11381077469372,82.98,100,32,4.38,padang
119,25.14278769340065,102.82271925754713,60.22,50,90,15.66,kunming
120,37.30742165753523,173.6828647928682,57.55,97,0,26.08,nikolskoye
121,-28.567894183646807,67.00426947321483,77.85,95,32,19.15,mahebourg
122,2.482535367223761,-121.62069940208735,79.6,100,68,11.43,atuona
123,4.17531672382016,151.77085112248983,79.74,100,80,8.63,kavieng
124,57.385113741569114,-6.0676199134491355,46.99,95,92,11.01,portree
125,-8.861905796020608,-168.84351240596163,85.59,100,12,9.19,lufilufi
126,-48.57030911682168,-2.4867107825897676,39.28,100,12,11.88,cape town
127,67.99420395727253,39.38352460674798,28.53,88,88,18.48,ostrovnoy
128,-30.85615340462501,4.801615699495329,71.77,100,36,5.06,luderitz
129,-47.24430741878224,15.023606645661147,42.3,100,76,15.79,hermanus
130,6.80630262285456,34.90103902861267,66.42,99,92,7.96,mizan teferi
131,-3.7669421755503123,140.63862888168563,73.8,93,80,1.36,vanimo
132,86.92973830657328,-109.15052737275943,-3.92,77,76,9.64,yellowknife
133,-82.87990274141703,106.13196335147626,-74.3,0,0,17.13,albany
134,47.69097153746961,128.2506853938288,20.7,36,0,3.38,cuiluan
135,38.86877509447385,-71.16278043830165,46.3,100,0,18.03,mastic beach
136,-7.168111622070569,-144.0279327822021,82.26,100,92,12.44,atuona
137,85.10052158468125,43.346254421244055,-8.74,65,56,5.95,belushya guba
138,75.9762744916305,153.36196565205017,2.65,94,56,7.96,chokurdakh
139,40.26320817878039,-163.61612837597212,48.28,100,100,48.56,kapaa
140,10.181441180289667,135.04450980652553,81.13,98,56,22.39,airai
141,43.79672752662768,-90.53497134339425,58.35,48,90,8.05,la crosse
142,-18.65206277404276,175.11484890728445,79.78,100,68,19.48,isangel
143,-80.07732306424549,-161.8374638420486,-9.05,80,64,2.71,mataura
144,-17.208875397460687,-95.06093388694147,73.3,100,0,13.44,puerto ayora
145,-73.70188676599255,-43.07755261878566,-5,92,64,5.17,ushuaia
146,29.838764452814516,-51.71815272354527,71.95,96,56,17.25,saint george
147,-61.4853176556265,3.318433045703955,31.5,100,48,26.53,hermanus
148,-27.003268117542554,61.88254449409973,78.88,98,68,11.88,mahebourg
149,51.931100149269724,-147.45301551483175,42.84,97,64,14,kodiak
